epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
72,0.0259082,0.00296672,0,0,2952,191,410,0.907569,0.939225,0.877978,0.90694,0.464362,0.0167298,0.00259725,0,0,0.00274192,0.00274192,0.00274192,0,0,0,0,0,0,0,0,0,0
73,0.0253136,0.00289812,0,0,2915,160,447,0.90567,0.9479,0.867043,0.906386,0.465699,0.0166645,0.00258012,0,0,0.00263159,0.00263159,0.00263159,0,0,0,0,0,0,0,0,0,0
74,0.025407,0.0029393,0,0,2952,179,410,0.909286,0.94283,0.878048,0.909402,0.469247,0.0166072,0.00256236,0,0,0.0025241,0.0025241,0.0025241,0,0,0,0,0,0,0,0,0,0
75,0.0255752,0.0028978,0,0,2959,200,403,0.907479,0.936683,0.880041,0.904788,0.468448,0.0166006,0.00256888,0,0,0.00241954,0.00241954,0.00241954,0,0,0,0,0,0,0,0,0,0
76,0.0249371,0.00284501,0,0,2963,181,399,0.910846,0.942418,0.881321,0.906942,0.46992,0.0165535,0.00256329,0,0,0.00231802,0.00231802,0.00231802,0,0,0,0,0,0,0,0,0,0
77,0.0249207,0.00284943,0,0,2947,161,415,0.910949,0.948196,0.876518,0.907181,0.469075,0.0165872,0.00255881,0,0,0.00221964,0.00221964,0.00221964,0,0,0,0,0,0,0,0,0,0
78,0.0245157,0.00282817,0,0,2960,174,402,0.911315,0.944448,0.880428,0.910577,0.468745,0.0165619,0.00255262,0,0,0.0021245,0.0021245,0.0021245,0,0,0,0,0,0,0,0,0,0
79,0.0247691,0.00279314,0,0,2972,195,390,0.910373,0.938424,0.88395,0.910033,0.470804,0.0165496,0.0025568,0,0,0.00203269,0.00203269,0.00203269,0,0,0,0,0,0,0,0,0,0
80,0.0244407,0.0027931,0,0,2973,161,389,0.915278,0.948511,0.884295,0.912452,0.469978,0.0165185,0.00254869,0,0,0.0019443,0.0019443,0.0019443,0,0,0,0,0,0,0,0,0,0
81,0.0245518,0.0027975,0,0,2967,147,395,0.91628,0.952791,0.882464,0.91338,0.470321,0.0165339,0.00254073,0,0,0.00185942,0.00185942,0.00185942,0,0,0,0,0,0,0,0,0,0
82,0.0240381,0.00276249,0,0,2994,175,368,0.916856,0.944773,0.890541,0.917474,0.471188,0.0165268,0.00253586,0,0,0.00177814,0.00177814,0.00177814,0,0,0,0,0,0,0,0,0,0
83,0.0244255,0.00280733,0,0,2960,142,402,0.915884,0.954227,0.880503,0.916764,0.471186,0.0164921,0.00252881,0,0,0.00170052,0.00170052,0.00170052,0,0,0,0,0,0,0,0,0,0
84,0.0238404,0.00275383,0,0,2971,156,391,0.9157,0.950112,0.883694,0.914352,0.471784,0.0164609,0.00252679,0,0,0.00162666,0.00162666,0.00162666,0,0,0,0,0,0,0,0,0,0
85,0.0235682,0.00278092,0,0,2990,171,372,0.91675,0.945903,0.88934,0.914935,0.472273,0.016464,0.00252779,0,0,0.00155662,0.00155662,0.00155662,0,0,0,0,0,0,0,0,0,0
86,0.0235625,0.00278857,0,0,2971,137,391,0.91839,0.955915,0.8837,0.915841,0.470673,0.0164775,0.00252357,0,0,0.00149047,0.00149047,0.00149047,0,0,0,0,0,0,0,0,0,0
87,0.0243788,0.00275023,0,0,2991,152,371,0.919587,0.95161,0.889649,0.916952,0.470915,0.0164773,0.0025192,0,0,0.00142828,0.00142828,0.00142828,0,0,0,0,0,0,0,0,0,0
88,0.0238252,0.00276994,0,0,3008,177,354,0.918881,0.944399,0.894706,0.917822,0.469739,0.0164947,0.00252036,0,0,0.0013701,0.0013701,0.0013701,0,0,0,0,0,0,0,0,0,0
89,0.0234214,0.00270887,0,0,3006,175,356,0.918838,0.944985,0.894099,0.919073,0.470896,0.0164743,0.00251701,0,0,0.00131601,0.00131601,0.00131601,0,0,0,0,0,0,0,0,0,0
90,0.0233989,0.0027376,0,0,3014,173,348,0.920495,0.945722,0.896578,0.919093,0.472382,0.0164544,0.00251218,0,0,0.00126604,0.00126604,0.00126604,0,0,0,0,0,0,0,0,0,0
91,0.0233859,0.0027398,0,0,3012,176,350,0.919671,0.94479,0.895852,0.918874,0.472348,0.0164529,0.00250987,0,0,0.00122025,0.00122025,0.00122025,0,0,0,0,0,0,0,0,0,0
92,0.0231439,0.00265698,0,0,3028,187,334,0.920746,0.941831,0.900585,0.919978,0.471615,0.0164279,0.00250639,0,0,0.00117868,0.00117868,0.00117868,0,0,0,0,0,0,0,0,0,0
93,0.0229071,0.00268255,0,0,3037,181,325,0.923147,0.943759,0.903416,0.921446,0.473013,0.0164112,0.00250423,0,0,0.00114138,0.00114138,0.00114138,0,0,0,0,0,0,0,0,0,0
94,0.0229953,0.00267126,0,0,3030,175,332,0.92279,0.945397,0.901239,0.920126,0.472559,0.0164087,0.00250115,0,0,0.00110837,0.00110837,0.00110837,0,0,0,0,0,0,0,0,0,0
95,0.0232373,0.002696,0,0,3011,155,351,0.922424,0.950907,0.895598,0.920485,0.472893,0.0163965,0.00249826,0,0,0.00107971,0.00107971,0.00107971,0,0,0,0,0,0,0,0,0,0
96,0.022908,0.0026937,0,0,2998,146,364,0.92153,0.953555,0.891586,0.918342,0.47231,0.0163905,0.00249549,0,0,0.0010554,0.0010554,0.0010554,0,0,0,0,0,0,0,0,0,0
97,0.0230493,0.00270752,0,0,2999,151,363,0.921025,0.951969,0.892029,0.918208,0.473896,0.0163608,0.00249486,0,0,0.00103548,0.00103548,0.00103548,0,0,0,0,0,0,0,0,0,0
98,0.0224299,0.00268399,0,0,2996,148,366,0.920928,0.95292,0.891014,0.918719,0.473649,0.0163598,0.00249294,0,0,0.00101997,0.00101997,0.00101997,0,0,0,0,0,0,0,0,0,0
99,0.0224158,0.00262626,0,0,3004,157,358,0.921085,0.950336,0.893582,0.918343,0.473249,0.0163758,0.00249248,0,0,0.00100888,0.00100888,0.00100888,0,0,0,0,0,0,0,0,0,0
